probe;nuc;act;frac;Passage;Area;X;Y;XM;YM;Perim;Major;Minor;Angle;Circ;AR;Round;Solidity;Age
p26;0,1268;0,2748;1,6914;26;5659,412;94,441;60,036;91,913;63,068;334,434;130,492;55,22;84,828;0,636;2,363;0,423;0,96;Old
p26;0,3063;0,5779;1,9075;26;3388,568;54,169;162,074;55,306;164,216;313,668;120,853;35,7;168,747;0,433;3,385;0,295;0,758;Old
p26;0,2124;0,5158;1,7534;26;6962,977;115,314;126,509;120,521;141,194;357,453;124,619;71,141;101,205;0,685;1,752;0,571;0,874;Old
p26;0,2407;0,561;1,514;26;3985,791;68,828;68,967;70,855;75,231;352,907;161,026;31,516;108,771;0,402;5,109;0,196;0,801;Old
p26;0,209;0,4956;1,4126;26;5811,197;129,103;30,063;132,461;33,121;335,478;109,194;67,761;157,541;0,649;1,611;0,621;0,932;Old
p26;0,1097;0,4838;1,733;26;6921,045;116,451;124,304;117,842;134,845;378,924;130,355;67,601;100,77;0,606;1,928;0,519;0,82;Old
p26;0,0939;0,4254;1,5853;26;6572,609;100,585;149,494;98,045;144,179;373,882;138,79;60,296;11,763;0,591;2,302;0,434;0,915;Old
p26;0,0889;0,3506;1,7462;26;4314,68;25,273;120,119;27,35;115,829;286,002;100,652;54,58;77,427;0,663;1,844;0,542;0,915;Old
p26;0,0345;0,3597;1,6968;26;5480,14;103,589;91,032;105,135;90,396;349,864;138,567;50,355;17,255;0,563;2,752;0,363;0,915;Old
p26;0,0084;0,2398;1,7352;26;7128,601;70,628;58,229;73,41;61,081;435,02;174,098;52,134;179,764;0,473;3,339;0,299;0,902;Old
p26;0,1454;0,3557;1,628;26;4780,462;85,997;28,309;84,406;30,891;373,458;161,151;37,77;170,055;0,431;4,267;0,234;0,818;Old
p26;0,1387;0,4658;1,7528;26;4898,446;128,473;127,399;128,042;128,64;293,215;113,503;54,949;83,565;0,716;2,066;0,484;0,924;Old
p26;0,0925;0,4206;1,6983;26;4556,993;56,45;44,547;55,767;40,58;327,533;118,161;49,104;113,841;0,534;2,406;0,416;0,884;Old
p26;0,2454;0,5602;1,8528;26;4314,871;33,686;92,237;33,759;83,033;385,983;174,396;31,502;95,383;0,364;5,536;0,181;0,797;Old
p26;0,0496;0,2261;1,6386;26;5006,185;144,078;90,504;142,012;84,566;360,978;121,171;52,604;75,205;0,483;2,303;0,434;0,84;Old
p26;0,0914;0,3085;1,6952;26;6716,037;72,216;98,328;69,432;96,349;402,083;126,015;67,858;115,255;0,522;1,857;0,538;0,876;Old
p26;0,0811;0,2954;1,6949;26;4519,897;42,022;106,674;45,083;107,151;356,672;155,933;36,906;123,864;0,446;4,225;0,237;0,915;Old
p21;0,3052;0,4582;1,8204;21;10883,287;48,789;100,724;40,514;95,873;459,004;192,768;71,884;109,356;0,649;2,682;0,373;0,949;Old
p21;0,4207;0,5646;1,7157;21;6508,074;160,231;63,618;153,823;65,688;432,366;181,888;45,557;145,093;0,437;3,992;0,25;0,856;Old
p21;0,34;0,4651;1,713;21;5707,449;181,774;164,664;179,924;153,138;353,269;142,728;50,915;109,173;0,575;2,803;0,357;0,914;Old
p21;0,4335;0,559;1,582;21;3391,986;131,94;172,945;132,222;176,848;354,193;130,321;33,14;79,293;0,34;3,932;0,254;0,68;Old
p21;0,4158;0,2562;1,4114;21;2288,856;120,451;95,472;127,69;78,032;376,844;177,534;16,415;65,131;0,203;10,815;0,092;0,717;Old
p21;0,2985;0,4861;1,7264;21;1212,506;120,686;62,09;121,814;63,333;185,403;82,476;18,718;27,011;0,443;4,406;0,227;0,869;Old
p21;0,2321;0,241;1,5194;21;2422,756;135,9;180,281;142,562;180,654;228,733;84,149;36,658;25,828;0,582;2,296;0,436;0,897;Old
p21;0,3392;0,4239;1,8623;21;3417,783;41,052;59,696;34,062;50,977;284,427;130,948;33,232;126,559;0,531;3,94;0,254;0,943;Old
p21;0,1466;-0,0135;1,8623;21;2232,346;168,779;40,338;168,826;41,159;268,412;106,087;26,792;57,074;0,389;3,96;0,253;0,907;Old
p21;0,2576;0,2103;1,7818;21;1090,232;195,553;49,055;192,042;52,071;172,801;77,993;17,798;44,219;0,459;4,382;0,228;0,855;Old
p21;0,3151;-0,2478;1,7897;21;3775,004;47,133;24,626;43,614;21,706;294,63;117,209;41,008;23,483;0,546;2,858;0,35;0,97;Old
p21;0,2033;0,0556;1,69;21;3447,686;89,015;31,041;80,695;35,414;346,014;157,763;27,825;24,495;0,362;5,67;0,176;0,944;Old
